[TRAIN_BEGIN] rows=24000 expected_steps~=1500 state.max_steps=1500 batch=4 grad_accum=4 epochs=1
[TRAIN_LOG] step=1270/1500 | epoch=0.8467 | elapsed=233.4m | eta=42.3m | steps_per_sec=0.0907 | loss=0.010019 | lr=6.09e-06 | grad_norm=0.1436
[TRAIN_LOG] step=1280/1500 | epoch=0.8533 | elapsed=235.2m | eta=40.4m | steps_per_sec=0.0907 | loss=0.011932 | lr=5.59e-06 | grad_norm=0.2188
[TRAIN_LOG] step=1290/1500 | epoch=0.8600 | elapsed=237.0m | eta=38.6m | steps_per_sec=0.0907 | loss=0.012474 | lr=5.10e-06 | grad_norm=0.1963
[TRAIN_LOG] step=1300/1500 | epoch=0.8667 | elapsed=238.8m | eta=36.7m | steps_per_sec=0.0907 | loss=0.010757 | lr=4.64e-06 | grad_norm=0.1670
[TRAIN_LOG] step=1310/1500 | epoch=0.8733 | elapsed=240.7m | eta=34.9m | steps_per_sec=0.0907 | loss=0.011123 | lr=4.19e-06 | grad_norm=0.1348
[TRAIN_LOG] step=1320/1500 | epoch=0.8800 | elapsed=242.5m | eta=33.1m | steps_per_sec=0.0907 | loss=0.011797 | lr=3.77e-06 | grad_norm=0.1582
[TRAIN_LOG] step=1330/1500 | epoch=0.8867 | elapsed=244.3m | eta=31.2m | steps_per_sec=0.0907 | loss=0.010026 | lr=3.37e-06 | grad_norm=0.1152
[TRAIN_LOG] step=1340/1500 | epoch=0.8933 | elapsed=246.2m | eta=29.4m | steps_per_sec=0.0907 | loss=0.009951 | lr=2.99e-06 | grad_norm=0.0962
[TRAIN_LOG] step=1350/1500 | epoch=0.9000 | elapsed=248.0m | eta=27.6m | steps_per_sec=0.0907 | loss=0.009236 | lr=2.63e-06 | grad_norm=0.1670
[TRAIN_LOG] step=1360/1500 | epoch=0.9067 | elapsed=249.9m | eta=25.7m | steps_per_sec=0.0907 | loss=0.009946 | lr=2.30e-06 | grad_norm=0.1064
[TRAIN_LOG] step=1370/1500 | epoch=0.9133 | elapsed=251.7m | eta=23.9m | steps_per_sec=0.0907 | loss=0.010231 | lr=1.99e-06 | grad_norm=0.1328
[TRAIN_LOG] step=1380/1500 | epoch=0.9200 | elapsed=253.5m | eta=22.0m | steps_per_sec=0.0907 | loss=0.009699 | lr=1.70e-06 | grad_norm=0.1650
[TRAIN_LOG] step=1390/1500 | epoch=0.9267 | elapsed=255.4m | eta=20.2m | steps_per_sec=0.0907 | loss=0.011676 | lr=1.43e-06 | grad_norm=0.2256
[TRAIN_LOG] step=1400/1500 | epoch=0.9333 | elapsed=257.2m | eta=18.4m | steps_per_sec=0.0907 | loss=0.009416 | lr=1.18e-06 | grad_norm=0.1240
[TRAIN_LOG] step=1410/1500 | epoch=0.9400 | elapsed=259.0m | eta=16.5m | steps_per_sec=0.0907 | loss=0.012036 | lr=9.62e-07 | grad_norm=0.2598
[TRAIN_LOG] step=1420/1500 | epoch=0.9467 | elapsed=260.9m | eta=14.7m | steps_per_sec=0.0907 | loss=0.009383 | lr=7.63e-07 | grad_norm=0.1689
[TRAIN_LOG] step=1430/1500 | epoch=0.9533 | elapsed=262.7m | eta=12.9m | steps_per_sec=0.0907 | loss=0.010369 | lr=5.86e-07 | grad_norm=0.1226
[TRAIN_LOG] step=1440/1500 | epoch=0.9600 | elapsed=264.6m | eta=11.0m | steps_per_sec=0.0907 | loss=0.010479 | lr=4.33e-07 | grad_norm=0.2656
[TRAIN_LOG] step=1450/1500 | epoch=0.9667 | elapsed=266.4m | eta=9.2m | steps_per_sec=0.0907 | loss=0.010673 | lr=3.03e-07 | grad_norm=0.1826
[TRAIN_LOG] step=1460/1500 | epoch=0.9733 | elapsed=268.3m | eta=7.3m | steps_per_sec=0.0907 | loss=0.013322 | lr=1.96e-07 | grad_norm=0.2080
